County,sum_new_positives,sum_cumulative_no_of_positive,sum_total_number_of_tests,sum_cumulative_no_of_tests,median_test_positive
Albany,75450,31527049,1402792,718954664,2.43%
Allegany,10396,4540770,248725,135187844,1.67%
Bronx,480247,214795050,8847438,4167554932,2.62%
Broome,56238,23809846,1183008,600726726,2.85%
Capital Region,273064,109650058,5255122,2645289344,2.42%
Cattaraugus,18648,7739886,307715,159238111,2.01%
Cayuga,19636,8258733,395524,199795061,2.05%
Central New York,219659,88806060,4404505,2280257150,2.70%
Chautauqua,28390,11963811,529410,284656873,17.24%
Chemung,25750,10781572,482115,240229506,2.80%
Chenango,11387,4672090,237180,120749908,2.41%
Clinton,21495,7897140,405091,204944024,16.67%
Columbia,13108,5333242,253036,134198616,1.94%
Cortland,12837,5327906,306593,162613835,2.11%
Delaware,9685,3752771,200498,101931557,2.24%
Dutchess,79872,34848939,1482191,765609824,2.30%
Erie,259074,110683234,4230697,2209228099,2.52%
Essex,7336,2731432,165134,82082708,1.87%
Finger Lakes,291710,125914355,5627645,2925577026,3.11%
Franklin,11662,4435661,217883,104817335,19.51%
Fulton,15935,6306546,230615,114053436,1.69%
Genesee,16033,6962833,274587,141618902,20.54%
Greene,10413,4408700,181361,91910867,2.54%
Hamilton,1054,432991,20261,10356622,0.00%
Herkimer,16859,7020942,325883,165269120,1.80%
Jefferson,25649,9657042,407594,191971766,2.41%
Kings,860573,362966136,18713833,8370878686,2.45%
Lewis,7069,3184476,104111,52934295,17.14%
Livingston,13875,5860772,285393,152289219,21.57%
Long Island,1047899,463920471,16896935,8450017694,3.21%
Madison,16241,6602449,372206,191580055,1.89%
Mid-Hudson,732389,333323687,13407104,6513198457,3.08%
Mohawk Valley,132784,55129169,2740911,1402887769,2.05%
Monroe,184340,81266752,3656142,1917145805,3.25%
Montgomery,14485,5881959,223329,114646701,17.02%
Nassau,515433,225331004,8400598,4188172601,2.99%
New York,553801,212308156,14450368,6672796856,2.09%
New York City,2908643,1224453265,60433651,27893288263,2.51%
Niagara,57583,24783016,904150,468974555,20.69%
North Country,99779,38597015,1940611,970267992,2.58%
Oneida,66461,28508629,1527340,790655393,2.04%
Onondaga,137709,55993243,2797843,1457537033,2.87%
Ontario,25002,10107862,480819,244314298,2.55%
Orange,131134,58559762,1968284,904265527,3.72%
Orleans,10149,4331454,158360,79497423,19.67%
Oswego,33236,12623729,532339,268731166,1.81%
Otsego,12728,4951672,312369,158059656,2.10%
Putnam,29694,12765002,490627,243060578,2.59%
Queens,813384,345088691,14735060,6902671989,2.49%
Rensselaer,40127,15928044,875724,447596670,21.30%
Richmond,200638,89295232,3686952,1779385800,3.25%
Rockland,112172,53675641,2358136,1029309794,3.01%
Saratoga,59019,22929569,1076644,532008522,2.44%
Schenectady,41888,17263319,837442,420680184,23.60%
Schoharie,6316,2459421,121375,60203463,18.29%
Schuyler,4209,1680264,99602,47465529,1.82%
Seneca,7336,2910342,139448,69545097,19.57%
Southern Tier,170688,68994999,5973213,3285431777,2.02%
STATEWIDE,6250706,2668499796,122900394,59623500954,3.05%
Steuben,24398,10006178,476678,233587858,2.50%
St. Lawrence,25514,10258273,620537,323161242,2.05%
Suffolk,532466,238589467,8496337,4261845093,3.43%
Sullivan,23209,9439839,377092,162432097,3.13%
Tioga,13520,5420118,234100,115425950,2.59%
Tompkins,25501,8872160,3060032,1825314743,10.08%
Ulster,40739,17116464,867586,439724686,2.64%
Warren,18009,6588480,339906,161155740,2.31%
Washington,15050,5671655,288217,138784081,2.00%
Wayne,21009,8496183,383003,193346376,2.53%
Westchester,315569,146918040,5863188,2968795951,2.92%
Western New York,374091,159710717,6220697,3257285482,2.22%
Wyoming,9682,4267904,158197,82232070,18.97%
Yates,4284,1710253,91696,45587836,14.29%
