"";"County";"pop2022";"area_milessquared";"density_permilessquared";"sum_new_positives";"sum_cumulative_no_of_positive";"sum_total_number_of_tests";"sum_cumulative_no_of_tests";"median_test_positive"
"1";"Kings";2782348;69,8126;39854,5289;"860,573";"362,966,136";"18,713,833";"8,370,878,686";"2.45%"
"2";"Queens";2440412;108,7681;22436,8367;"813,384";"345,088,691";"14,735,060";"6,902,671,989";"2.49%"
"3";"New York City";1715927;22,6558;75738,8946;"2,908,643";"1,224,453,265";"60,433,651";"27,893,288,263";"2.51%"
"4";"Suffolk";1532434;911,7219;1680,813;"532,466";"238,589,467";"8,496,337";"4,261,845,093";"3.43%"
"5";"Bronx";1490164;42,0506;35437,3653;"480,247";"214,795,050";"8,847,438";"4,167,554,932";"2.62%"
"6";"Nassau";1407022;284,81;4940,2121;"515,433";"225,331,004";"8,400,598";"4,188,172,601";"2.99%"
"7";"Westchester";1015525;430,516;2358,8553;"315,569";"146,918,040";"5,863,188";"2,968,795,951";"2.92%"
"8";"Erie";961276;1042,6977;921,9125;"259,074";"110,683,234";"4,230,697";"2,209,228,099";"2.52%"
"9";"Monroe";762463;657,2105;1160,1504;"184,340";"81,266,752";"3,656,142";"1,917,145,805";"3.25%"
"10";"Richmond";501151;58,1779;8614,1174;"200,638";"89,295,232";"3,686,952";"1,779,385,800";"3.25%"
"11";"Onondaga";478414;778,4094;614,6046;"137,709";"55,993,243";"2,797,843";"1,457,537,033";"2.87%"
"12";"Orange";407010;811,6988;501,4299;"131,134";"58,559,762";"1,968,284";"904,265,527";"3.72%"
"13";"Rockland";343657;173,5039;1980,6877;"112,172";"53,675,641";"2,358,136";"1,029,309,794";"3.01%"
"14";"Albany";316976;522,8113;606,2914;"75,450";"31,527,049";"1,402,792";"718,954,664";"2.43%"
"15";"Dutchess";295595;795,6356;371,5206;"79,872";"34,848,939";"1,482,191";"765,609,824";"2.30%"
"16";"Saratoga";238689;809,9962;294,6792;"59,019";"22,929,569";"1,076,644";"532,008,522";"2.44%"
"17";"Oneida";231575;1212,4134;191,0033;"66,461";"28,508,629";"1,527,340";"790,655,393";"2.04%"
"18";"Niagara";211906;522,3527;405,6761;"57,583";"24,783,016";"904,150";"468,974,555";"20.69%"
"19";"Broome";198299;705,7655;280,9701;"56,238";"23,809,846";"1,183,008";"600,726,726";"2.85%"
"20";"Ulster";181723;1124,235;161,6415;"40,739";"17,116,464";"867,586";"439,724,686";"2.64%"
"21";"Rensselaer";161470;652,4322;247,4893;"40,127";"15,928,044";"875,724";"447,596,670";"21.30%"
"22";"Schenectady";158727;204,5787;775,8727;"41,888";"17,263,319";"837,442";"420,680,184";"23.60%"
"23";"Chautauqua";126207;1060,2265;119,0378;"28,390";"11,963,811";"529,410";"284,656,873";"17.24%"
"24";"Jefferson";116819;1268,677;92,0794;"25,649";"9,657,042";"407,594";"191,971,766";"2.41%"
"25";"Oswego";116609;951,6435;122,5343;"33,236";"12,623,729";"532,339";"268,731,166";"1.81%"
"26";"Ontario";113364;644,064;176,0136;"25,002";"10,107,862";"480,819";"244,314,298";"2.55%"
"27";"St. Lawrence";107817;2680,3786;40,2245;"25,514";"10,258,273";"620,537";"323,161,242";"2.05%"
"28";"Tompkins";106576;474,6493;224,5363;"25,501";"8,872,160";"3,060,032";"1,825,314,743";"10.08%"
"29";"Putnam";97260;230,3116;422,2975;"29,694";"12,765,002";"490,627";"243,060,578";"2.59%"
"30";"Steuben";92502;1390,5728;66,5208;"24,398";"10,006,178";"476,678";"233,587,858";"2.50%"
"31";"Wayne";90785;603,8264;150,3495;"21,009";"8,496,183";"383,003";"193,346,376";"2.53%"
"32";"Chemung";83212;407,3527;204,2751;"25,750";"10,781,572";"482,115";"240,229,506";"2.80%"
"33";"Clinton";79387;1037,8526;76,4916;"21,495";"7,897,140";"405,091";"204,944,024";"16.67%"
"34";"Sullivan";78840;968,1347;81,4349;"23,209";"9,439,839";"377,092";"162,432,097";"3.13%"
"35";"Cattaraugus";76386;1308,3601;58,383;"18,648";"7,739,886";"307,715";"159,238,111";"2.01%"
"36";"Cayuga";75492;691,5917;109,1569;"19,636";"8,258,733";"395,524";"199,795,061";"2.05%"
"37";"Madison";66930;654,8646;102,2043;"16,241";"6,602,449";"372,206";"191,580,055";"1.89%"
"38";"Warren";65743;866,9581;75,8318;"18,009";"6,588,480";"339,906";"161,155,740";"2.31%"
"39";"Columbia";61264;634,7275;96,5202;"13,108";"5,333,242";"253,036";"134,198,616";"1.94%"
"40";"Livingston";61122;631,7622;96,7484;"13,875";"5,860,772";"285,393";"152,289,219";"21.57%"
"41";"Washington";60920;831,1669;73,2945;"15,050";"5,671,655";"288,217";"138,784,081";"2.00%"
"42";"Herkimer";59263;1411,5299;41,9849;"16,859";"7,020,942";"325,883";"165,269,120";"1.80%"
"43";"Genesee";58050;492,9359;117,7638;"16,033";"6,962,833";"274,587";"141,618,902";"20.54%"
"44";"Otsego";57776;1001,7094;57,6774;"12,728";"4,951,672";"312,369";"158,059,656";"2.10%"
"45";"Fulton";52882;495,4601;106,7331;"15,935";"6,306,546";"230,615";"114,053,436";"1.69%"
"46";"Montgomery";49394;403,1168;122,5302;"14,485";"5,881,959";"223,329";"114,646,701";"17.02%"
"47";"Tioga";47921;518,6096;92,4028;"13,520";"5,420,118";"234,100";"115,425,950";"2.59%"
"48";"Greene";47673;647,1615;73,6648;"10,413";"4,408,700";"181,361";"91,910,867";"2.54%"
"49";"Franklin";46747;1629,0705;28,6955;"11,662";"4,435,661";"217,883";"104,817,335";"19.51%"
"50";"Chenango";46568;893,5573;52,1153;"11,387";"4,672,090";"237,180";"120,749,908";"2.41%"
"51";"Cortland";46303;498,7729;92,8338;"12,837";"5,327,906";"306,593";"162,613,835";"2.11%"
"52";"Allegany";45958;1029,3002;44,6498;"10,396";"4,540,770";"248,725";"135,187,844";"1.67%"
"53";"Delaware";43574;1442,4601;30,2081;"9,685";"3,752,771";"200,498";"101,931,557";"2.24%"
"54";"Wyoming";40207;592,7513;67,8311;"9,682";"4,267,904";"158,197";"82,232,070";"18.97%"
"55";"Orleans";39835;391,2631;101,8113;"10,149";"4,331,454";"158,360";"79,497,423";"19.67%"
"56";"Essex";36983;1794,2666;20,6118;"7,336";"2,731,432";"165,134";"82,082,708";"1.87%"
"57";"Seneca";33526;323,7095;103,5682;"7,336";"2,910,342";"139,448";"69,545,097";"19.57%"
"58";"Schoharie";29106;621,8189;46,8078;"6,316";"2,459,421";"121,375";"60,203,463";"18.29%"
"59";"Lewis";26482;1274,6433;20,776;"7,069";"3,184,476";"104,111";"52,934,295";"17.14%"
"60";"Yates";24660;338,1428;72,9278;"4,284";"1,710,253";"91,696";"45,587,836";"14.29%"
"61";"Schuyler";17810;328,3332;54,2437;"4,209";"1,680,264";"99,602";"47,465,529";"1.82%"
"62";"Hamilton";5161;1717,3817;3,0052;"1,054";"432,991";"20,261";"10,356,622";"0.00%"
